seed,task_type,host_count,shrink,algo,active,migr,time
1,-3,10,False,Initial + migopt,1.0,0.0,0.1732943058013916
1,-3,10,False,FirstFitDecreasing,0.5,0.918918918918919,0.0020935535430908203
1,-3,10,False,FirstFitDecreasing + migopt,0.5,0.7081081081081081,0.02390146255493164
1,-3,10,False,Sercon,0.5,0.32432432432432434,0.001962423324584961
1,-3,10,False,Sercon + migopt,0.5,0.32432432432432434,0.020882606506347656
1,-3,10,False,PyVPSolver,0.5,0.9297297297297298,0.6450529098510742
1,-3,10,False,PyVPSolver + migopt,0.5,0.6756756756756757,0.33649325370788574
2,-3,10,False,Initial,1.0,0.0,9.5367431640625e-07
2,-3,10,False,Initial + migopt,1.0,0.0,0.0418546199798584
2,-3,10,False,FirstFitDecreasing,0.5,0.918918918918919,0.002591371536254883
2,-3,10,False,FirstFitDecreasing + migopt,0.5,0.7081081081081081,0.02184581756591797
2,-3,10,False,Sercon,0.5,0.32432432432432434,0.0021948814392089844
2,-3,10,False,Sercon + migopt,0.5,0.32432432432432434,0.021592140197753906
2,-3,10,False,PyVPSolver,0.5,0.9297297297297298,0.41013669967651367
2,-3,10,False,PyVPSolver + migopt,0.5,0.6756756756756757,0.4099552631378174
3,-3,10,False,Initial,1.0,0.0,1.1920928955078125e-06
3,-3,10,False,Initial + migopt,1.0,0.0,0.02424907684326172
3,-3,10,False,FirstFitDecreasing,0.5,0.918918918918919,0.0016415119171142578
3,-3,10,False,FirstFitDecreasing + migopt,0.5,0.7081081081081081,0.020948410034179688
3,-3,10,False,Sercon,0.5,0.32432432432432434,0.002066373825073242
3,-3,10,False,Sercon + migopt,0.5,0.32432432432432434,0.060090065002441406
3,-3,10,False,PyVPSolver,0.5,0.9297297297297298,0.559847354888916
3,-3,10,False,PyVPSolver + migopt,0.5,0.6756756756756757,0.4131042957305908
4,-3,10,False,Initial,1.0,0.0,1.1920928955078125e-06
4,-3,10,False,Initial + migopt,1.0,0.0,0.024410486221313477
4,-3,10,False,FirstFitDecreasing,0.5,0.918918918918919,0.0019519329071044922
4,-3,10,False,FirstFitDecreasing + migopt,0.5,0.7081081081081081,0.026997804641723633
4,-3,10,False,Sercon,0.5,0.32432432432432434,0.0023212432861328125
4,-3,10,False,Sercon + migopt,0.5,0.32432432432432434,0.03486466407775879
4,-3,10,False,PyVPSolver,0.5,0.9297297297297298,0.34676361083984375
4,-3,10,False,PyVPSolver + migopt,0.5,0.6756756756756757,0.4313035011291504
0,-3,20,False,Initial,1.0,0.0,9.5367431640625e-07
0,-3,20,False,Initial + migopt,1.0,0.0,0.09066891670227051
0,-3,20,False,FirstFitDecreasing,0.5,0.9378378378378378,0.0029871463775634766
0,-3,20,False,FirstFitDecreasing + migopt,0.5,0.6756756756756757,0.07015419006347656
0,-3,20,False,Sercon,0.55,0.23513513513513515,0.007740497589111328
0,-3,20,False,Sercon + migopt,0.55,0.23513513513513515,0.0767979621887207
0,-3,20,False,PyVPSolver,0.5,0.9324324324324325,0.4910132884979248
0,-3,20,False,PyVPSolver + migopt,0.5,0.6108108108108108,0.6315126419067383
1,-3,20,False,Initial,1.0,0.0,9.5367431640625e-07
1,-3,20,False,Initial + migopt,1.0,0.0,0.22304177284240723
1,-3,20,False,FirstFitDecreasing,0.5,0.9378378378378378,0.0038301944732666016
1,-3,20,False,FirstFitDecreasing + migopt,0.5,0.6756756756756757,0.092315673828125
1,-3,20,False,Sercon,0.55,0.23513513513513515,0.008513689041137695
1,-3,20,False,Sercon + migopt,0.55,0.23513513513513515,0.10475659370422363
1,-3,20,False,PyVPSolver,0.5,0.9324324324324325,0.3914635181427002
1,-3,20,False,PyVPSolver + migopt,0.5,0.6108108108108108,0.3939402103424072
2,-3,20,False,Initial,1.0,0.0,7.152557373046875e-07
2,-3,20,False,Initial + migopt,1.0,0.0,0.1029658317565918
2,-3,20,False,FirstFitDecreasing,0.5,0.9378378378378378,0.005700588226318359
2,-3,20,False,FirstFitDecreasing + migopt,0.5,0.6756756756756757,0.1024332046508789
2,-3,20,False,Sercon,0.55,0.23513513513513515,0.015703916549682617
2,-3,20,False,Sercon + migopt,0.55,0.23513513513513515,0.11945343017578125
2,-3,20,False,PyVPSolver,0.5,0.9324324324324325,0.3595139980316162
2,-3,20,False,PyVPSolver + migopt,0.5,0.6108108108108108,0.5483179092407227
3,-3,20,False,Initial,1.0,0.0,9.5367431640625e-07
3,-3,20,False,Initial + migopt,1.0,0.0,0.13240838050842285
3,-3,20,False,FirstFitDecreasing,0.5,0.9378378378378378,0.006339073181152344
3,-3,20,False,FirstFitDecreasing + migopt,0.5,0.6756756756756757,0.10846257209777832
3,-3,20,False,Sercon,0.55,0.23513513513513515,0.013081550598144531
3,-3,20,False,Sercon + migopt,0.55,0.23513513513513515,0.12991952896118164
3,-3,20,False,PyVPSolver,0.5,0.9324324324324325,0.4049046039581299
3,-3,20,False,PyVPSolver + migopt,0.5,0.6108108108108108,0.859307050704956
4,-3,20,False,Initial,1.0,0.0,1.430511474609375e-06
4,-3,20,False,Initial + migopt,1.0,0.0,0.20143866539001465
4,-3,20,False,FirstFitDecreasing,0.5,0.9378378378378378,0.027956485748291016
4,-3,20,False,FirstFitDecreasing + migopt,0.5,0.6756756756756757,0.20540714263916016
4,-3,20,False,Sercon,0.55,0.23513513513513515,0.009624958038330078
4,-3,20,False,Sercon + migopt,0.55,0.23513513513513515,0.37096166610717773
4,-3,20,False,PyVPSolver,0.5,0.9324324324324325,0.5017414093017578
4,-3,20,False,PyVPSolver + migopt,0.5,0.6108108108108108,0.5594727993011475
0,-3,40,False,Initial,0.975,0.0,9.5367431640625e-07
0,-3,40,False,Initial + migopt,0.975,0.0,0.5258560180664062
0,-3,40,False,FirstFitDecreasing,0.5,0.972972972972973,0.007238149642944336
0,-3,40,False,FirstFitDecreasing + migopt,0.5,0.7405405405405405,0.872891902923584
0,-3,40,False,Sercon,0.5,0.3054054054054054,0.010550260543823242
0,-3,40,False,Sercon + migopt,0.5,0.3054054054054054,0.4414350986480713
0,-3,40,False,PyVPSolver,0.5,0.9824324324324324,0.5747795104980469
0,-3,40,False,PyVPSolver + migopt,0.5,0.6648648648648648,1.2606232166290283
1,-3,40,False,Initial,0.975,0.0,1.430511474609375e-06
1,-3,40,False,Initial + migopt,0.975,0.0,0.5116844177246094
1,-3,40,False,FirstFitDecreasing,0.5,0.972972972972973,0.007137298583984375
1,-3,40,False,FirstFitDecreasing + migopt,0.5,0.7405405405405405,0.6853411197662354
1,-3,40,False,Sercon,0.5,0.3054054054054054,0.013030052185058594
1,-3,40,False,Sercon + migopt,0.5,0.3054054054054054,0.6076745986938477
1,-3,40,False,PyVPSolver,0.5,0.9824324324324324,0.4923074245452881
1,-3,40,False,PyVPSolver + migopt,0.5,0.6648648648648648,0.9251856803894043
2,-3,40,False,Initial,0.975,0.0,9.5367431640625e-07
2,-3,40,False,Initial + migopt,0.975,0.0,0.32274889945983887
2,-3,40,False,FirstFitDecreasing,0.5,0.972972972972973,0.007016181945800781
2,-3,40,False,FirstFitDecreasing + migopt,0.5,0.7405405405405405,0.513002872467041
2,-3,40,False,Sercon,0.5,0.3054054054054054,0.04101824760437012
2,-3,40,False,Sercon + migopt,0.5,0.3054054054054054,0.5276529788970947
2,-3,40,False,PyVPSolver,0.5,0.9824324324324324,0.5090360641479492
2,-3,40,False,PyVPSolver + migopt,0.5,0.6648648648648648,0.8052845001220703
3,-3,40,False,Initial,0.975,0.0,1.430511474609375e-06
3,-3,40,False,Initial + migopt,0.975,0.0,0.8253529071807861
3,-3,40,False,FirstFitDecreasing,0.5,0.972972972972973,0.0675818920135498
3,-3,40,False,FirstFitDecreasing + migopt,0.5,0.7405405405405405,0.638890266418457
3,-3,40,False,Sercon,0.5,0.3054054054054054,0.009200334548950195
3,-3,40,False,Sercon + migopt,0.5,0.3054054054054054,0.9529361724853516
3,-3,40,False,PyVPSolver,0.5,0.9824324324324324,1.1472840309143066
3,-3,40,False,PyVPSolver + migopt,0.5,0.6648648648648648,1.4749114513397217
4,-3,40,False,Initial,0.975,0.0,1.430511474609375e-06
4,-3,40,False,Initial + migopt,0.975,0.0,0.4807918071746826
4,-3,40,False,FirstFitDecreasing,0.5,0.972972972972973,0.007410764694213867
4,-3,40,False,FirstFitDecreasing + migopt,0.5,0.7405405405405405,0.2932295799255371
4,-3,40,False,Sercon,0.5,0.3054054054054054,0.0488128662109375
4,-3,40,False,Sercon + migopt,0.5,0.3054054054054054,0.2630462646484375
4,-3,40,False,PyVPSolver,0.5,0.9824324324324324,0.9302263259887695
4,-3,40,False,PyVPSolver + migopt,0.5,0.6648648648648648,0.90384840965271
0,-3,80,False,Initial,0.9875,0.0,1.6689300537109375e-06
0,-3,80,False,Initial + migopt,0.9875,0.0,1.75885009765625
0,-3,80,False,FirstFitDecreasing,0.5,0.9831081081081081,0.11106753349304199
0,-3,80,False,FirstFitDecreasing + migopt,0.5,0.7594594594594595,1.805830717086792
0,-3,80,False,Sercon,0.5,0.27905405405405403,0.0817880630493164
0,-3,80,False,Sercon + migopt,0.5,0.27905405405405403,2.2306854724884033
0,-3,80,False,PyVPSolver,0.5,0.9885135135135135,0.4142022132873535
0,-3,80,False,PyVPSolver + migopt,0.5,0.6128378378378379,2.0994021892547607
1,-3,80,False,Initial,0.9875,0.0,1.1920928955078125e-06
1,-3,80,False,Initial + migopt,0.9875,0.0,1.7983498573303223
1,-3,80,False,FirstFitDecreasing,0.5,0.9831081081081081,0.02475595474243164
1,-3,80,False,FirstFitDecreasing + migopt,0.5,0.7594594594594595,1.5237042903900146
1,-3,80,False,Sercon,0.5,0.27905405405405403,0.02621769905090332
1,-3,80,False,Sercon + migopt,0.5,0.27905405405405403,1.7163352966308594
1,-3,80,False,PyVPSolver,0.5,0.9885135135135135,0.4192371368408203
1,-3,80,False,PyVPSolver + migopt,0.5,0.6128378378378379,1.7603402137756348
2,-3,80,False,Initial,0.9875,0.0,7.152557373046875e-07
2,-3,80,False,Initial + migopt,0.9875,0.0,1.1900103092193604
2,-3,80,False,FirstFitDecreasing,0.5,0.9831081081081081,0.030428171157836914
2,-3,80,False,FirstFitDecreasing + migopt,0.5,0.7594594594594595,1.272153615951538
2,-3,80,False,Sercon,0.5,0.27905405405405403,0.02734994888305664
2,-3,80,False,Sercon + migopt,0.5,0.27905405405405403,1.4424738883972168
2,-3,80,False,PyVPSolver,0.5,0.9885135135135135,0.31957244873046875
2,-3,80,False,PyVPSolver + migopt,0.5,0.6128378378378379,1.1661789417266846
3,-3,80,False,Initial,0.9875,0.0,7.152557373046875e-07
3,-3,80,False,Initial + migopt,0.9875,0.0,1.0956470966339111
3,-3,80,False,FirstFitDecreasing,0.5,0.9831081081081081,0.013627052307128906
3,-3,80,False,FirstFitDecreasing + migopt,0.5,0.7594594594594595,0.9215424060821533
3,-3,80,False,Sercon,0.5,0.27905405405405403,0.01918768882751465
3,-3,80,False,Sercon + migopt,0.5,0.27905405405405403,0.9634368419647217
3,-3,80,False,PyVPSolver,0.5,0.9885135135135135,0.22753477096557617
3,-3,80,False,PyVPSolver + migopt,0.5,0.6128378378378379,1.1586692333221436
4,-3,80,False,Initial,0.9875,0.0,4.76837158203125e-07
4,-3,80,False,Initial + migopt,0.9875,0.0,1.0628676414489746
4,-3,80,False,FirstFitDecreasing,0.5,0.9831081081081081,0.012699604034423828
4,-3,80,False,FirstFitDecreasing + migopt,0.5,0.7594594594594595,0.9431936740875244
4,-3,80,False,Sercon,0.5,0.27905405405405403,0.020002365112304688
4,-3,80,False,Sercon + migopt,0.5,0.27905405405405403,0.9444999694824219
4,-3,80,False,PyVPSolver,0.5,0.9885135135135135,0.2204596996307373
4,-3,80,False,PyVPSolver + migopt,0.5,0.6128378378378379,1.1666491031646729
0,3,10,True,Initial,1.0,0.0,9.5367431640625e-07
0,3,10,True,Initial + migopt,1.0,0.0,0.03760647773742676
0,3,10,True,FirstFitDecreasing,0.8,0.9104343931930139,0.002110004425048828
0,3,10,True,FirstFitDecreasing + migopt,0.8,0.6108374384236454,0.05146622657775879
0,3,10,True,Sercon,0.8,0.1509180474697716,0.003580331802368164
0,3,10,True,Sercon + migopt,0.8,0.1509180474697716,0.03843259811401367
0,3,10,True,PyVPSolver,0.8,0.6224809673085535,0.29801130294799805
0,3,10,True,PyVPSolver + migopt,0.8,0.39408866995073893,0.3114054203033447
1,3,10,True,Initial,1.0,0.0,9.5367431640625e-07
1,3,10,True,Initial + migopt,1.0,0.0,0.0442202091217041
1,3,10,True,FirstFitDecreasing,0.8,0.9104343931930139,0.002261638641357422
1,3,10,True,FirstFitDecreasing + migopt,0.8,0.6108374384236454,0.05467653274536133
1,3,10,True,Sercon,0.8,0.1509180474697716,0.0029268264770507812
1,3,10,True,Sercon + migopt,0.8,0.1509180474697716,0.042533159255981445
1,3,10,True,PyVPSolver,0.8,0.6224809673085535,0.26021456718444824
1,3,10,True,PyVPSolver + migopt,0.8,0.39408866995073893,0.31226396560668945
2,3,10,True,Initial,1.0,0.0,1.430511474609375e-06
2,3,10,True,Initial + migopt,1.0,0.0,0.03824901580810547
2,3,10,True,FirstFitDecreasing,0.8,0.9104343931930139,0.004404306411743164
2,3,10,True,FirstFitDecreasing + migopt,0.8,0.6108374384236454,0.05945897102355957
2,3,10,True,Sercon,0.8,0.1509180474697716,0.0030088424682617188
2,3,10,True,Sercon + migopt,0.8,0.1509180474697716,0.03920912742614746
2,3,10,True,PyVPSolver,0.8,0.6224809673085535,0.27471303939819336
2,3,10,True,PyVPSolver + migopt,0.8,0.39408866995073893,0.3196413516998291
3,3,10,True,Initial,1.0,0.0,7.152557373046875e-07
3,3,10,True,Initial + migopt,1.0,0.0,0.03520464897155762
3,3,10,True,FirstFitDecreasing,0.8,0.9104343931930139,0.001920938491821289
3,3,10,True,FirstFitDecreasing + migopt,0.8,0.6108374384236454,0.04832959175109863
3,3,10,True,Sercon,0.8,0.1509180474697716,0.005187034606933594
3,3,10,True,Sercon + migopt,0.8,0.1509180474697716,0.03671383857727051
3,3,10,True,PyVPSolver,0.8,0.6224809673085535,0.32889699935913086
3,3,10,True,PyVPSolver + migopt,0.8,0.39408866995073893,0.30566859245300293
4,3,10,True,Initial,1.0,0.0,1.1920928955078125e-06
4,3,10,True,Initial + migopt,1.0,0.0,0.03858590126037598
4,3,10,True,FirstFitDecreasing,0.8,0.9104343931930139,0.002493143081665039
4,3,10,True,FirstFitDecreasing + migopt,0.8,0.6108374384236454,0.05020880699157715
4,3,10,True,Sercon,0.8,0.1509180474697716,0.0033245086669921875
